best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,out_channels1,out_channels2,out_channels3,out_channels4,h1,h2,h3,eta,batch_size,dropout_rate,weight_decay,stride,padding,kernel_size,pool_kernel_size,pool_stride
6,0.8260838612914085,0.2721352066397667,0.9146112129092216,0.7278647933602334,0.08538878709077835,11,128,128,128,128,256,512,256,0.001,128,0,0,1,1,3,3,2
5,0.9304976277053356,0.2962903063297272,1.0407182108610868,0.7037096936702728,-0.040718210861086845,10,128,128,128,128,256,512,256,0.0001,128,0,0,1,1,3,3,2
7,0.8378387968691569,0.24732006400823592,0.9828098837345366,0.7526799359917641,0.017190116265463407,12,128,128,128,128,256,512,512,0.001,64,0,0,1,1,3,3,2
5,0.890974690043737,0.27464925473928453,1.0428067795814029,0.7253507452607155,-0.04280677958140289,10,128,128,128,128,256,512,512,0.0001,64,0,0,1,1,3,3,2
7,0.8128801099956036,0.2531683121323586,0.8990427814424038,0.7468316878676414,0.1009572185575962,12,128,128,128,128,256,512,512,0.001,128,0,0,1,1,3,3,2
7,0.9029425624758005,0.16005343401432037,1.1891948021948338,0.8399465659856796,-0.18919480219483376,12,128,128,128,128,256,512,512,0.0001,128,0,0,1,1,3,3,2
7,0.8273260233894227,0.265453948110342,0.9821662231097146,0.734546051889658,0.017833776890285424,12,128,128,128,128,256,512,1024,0.001,64,0,0,1,1,3,3,2
4,0.8942540988089547,0.29143027564883234,1.0601264124824887,0.7085697243511677,-0.060126412482488734,9,128,128,128,128,256,512,1024,0.0001,64,0,0,1,1,3,3,2
6,0.8289720788598061,0.27967211151123045,0.8756414242088795,0.7203278884887696,0.12435857579112053,11,128,128,128,128,256,512,1024,0.001,128,0,0,1,1,3,3,2
6,0.9646214488893747,0.19527474564313888,1.1462540309876204,0.8047252543568612,-0.14625403098762035,11,128,128,128,128,256,512,1024,0.0001,128,0,0,1,1,3,3,2
6,0.7930487195650736,0.2896463208496571,0.8839324277544779,0.7103536791503429,0.11606757224552211,11,128,128,128,128,256,1024,128,0.001,64,0,0,1,1,3,3,2
6,0.9332027898894416,0.18878888946771621,1.103061462205554,0.8112111105322838,-0.1030614622055539,11,128,128,128,128,256,1024,128,0.0001,64,0,0,1,1,3,3,2
6,0.8649080768227577,0.2914294385910034,0.8964865859597921,0.7085705614089965,0.10351341404020786,11,128,128,128,128,256,1024,128,0.001,128,0,0,1,1,3,3,2
7,0.9188298992812634,0.16579933375120162,1.128312984481454,0.8342006662487984,-0.1283129844814539,12,128,128,128,128,256,1024,128,0.0001,128,0,0,1,1,3,3,2
6,0.8104188962588235,0.289351155847311,0.9064220530646188,0.710648844152689,0.09357794693538124,11,128,128,128,128,256,1024,256,0.001,64,0,0,1,1,3,3,2
5,0.9166918586170862,0.2586533699631691,1.0675490716147045,0.7413466300368309,-0.06754907161470447,10,128,128,128,128,256,1024,256,0.0001,64,0,0,1,1,3,3,2
8,0.7947083339095116,0.20331327259540558,1.0383377131074667,0.7966867274045945,-0.0383377131074667,13,128,128,128,128,256,1024,256,0.001,128,0,0,1,1,3,3,2
5,0.9466266948729753,0.2706022627353668,1.0981186218559742,0.7293977372646332,-0.0981186218559742,10,128,128,128,128,256,1024,256,0.0001,128,0,0,1,1,3,3,2
6,0.7921948631604513,0.3096884280443192,0.9519020900839851,0.6903115719556808,0.048097909916014925,11,128,128,128,128,256,1024,512,0.001,64,0,0,1,1,3,3,2
5,0.9244960924935719,0.23107893705368043,1.099449682803381,0.7689210629463196,-0.09944968280338107,10,128,128,128,128,256,1024,512,0.0001,64,0,0,1,1,3,3,2
6,0.8254493419080973,0.29982675433158873,0.9068301152437925,0.7001732456684113,0.09316988475620747,11,128,128,128,128,256,1024,512,0.001,128,0,0,1,1,3,3,2
