best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,out_channels1,out_channels2,out_channels3,h1,h2,batch_size
6,0.8945959553718567,0.3949093489795923,0.9365217990875244,0.860375,0.72725,11,True,128,64,128,512,256,32
10,0.8946195898056031,0.2411576801687479,1.072048946380615,0.9154375,0.72424996,15,True,128,256,128,512,128,32
8,0.8947498476694501,0.3579503570199013,0.9964218593779064,0.8715,0.72445434,13,True,128,64,512,512,512,64
11,0.8947578119853187,0.272804662078619,1.0590703960448975,0.9044375,0.7185019,16,True,64,128,512,256,256,64
10,0.894811674952507,0.2573286333084106,0.996917113661766,0.9096875,0.7368164,15,True,128,256,512,512,512,128
9,0.8951082806738596,0.2826876389086246,1.0592421964993552,0.8996875,0.7167659,14,True,128,256,256,256,128,64
10,0.8952227184772491,0.2674496029168367,1.0567993528842925,0.9094375,0.722,15,True,32,256,512,256,128,32
9,0.8953049750555129,0.3663596835136413,0.9638505899716936,0.870875,0.72767854,14,True,64,64,512,256,256,64
7,0.8953824806958437,0.3181368502378464,1.0476393438875675,0.8853125,0.70581055,12,True,32,128,256,512,256,128
9,0.8957566805183887,0.3429978222846985,0.9618385881185532,0.8785625,0.7043457,14,True,128,64,256,128,256,128
8,0.8957860507662334,0.3188301187157631,1.013154733748663,0.8873125,0.71899796,13,True,64,64,256,512,128,64
8,0.895895935240246,0.3133218225836753,1.0408209207512082,0.885875,0.7137897,13,True,128,64,256,512,128,64
10,0.8959285535812378,0.2310788778737187,1.0824246294498443,0.920375,0.73099995,15,True,64,128,128,256,128,32
9,0.8961397920336042,0.3188810403645039,0.9714043935139974,0.8851875,0.7251984,14,True,128,64,256,256,256,64
8,0.8961987154824393,0.2990942461490631,1.0302281578381856,0.8928125,0.7165178,13,True,32,64,128,512,128,64
6,0.8962681833654642,0.4266478097438812,0.92004257068038,0.848125,0.70410156,11,True,64,128,256,128,256,128
9,0.896492840051651,0.286372115150094,1.0663440792560577,0.89937496,0.72225,14,True,64,256,256,256,256,32
9,0.8965587057173252,0.3072348254919052,1.0555807258933785,0.89325,0.7163086,14,True,64,128,512,256,128,128
8,0.8966347773869833,0.3333119819164276,1.0805818447991022,0.8805625,0.69518846,13,True,64,256,128,128,256,64
7,0.8966504298150539,0.4269636554718017,0.9651537109166384,0.8505,0.72094727,12,True,128,128,512,128,256,128
6,0.8966683925144256,0.4017984203100204,0.9283886745808616,0.857,0.7237103,11,True,128,256,128,256,256,64
10,0.8970424626022577,0.2468705285191536,1.054797412827611,0.91075,0.7109375,15,True,64,64,128,512,128,128
